Median Household Income,School District
"$47,031","Kress Independent School District / 1,133"
"$46,968","Stanton Independent School District / 4,108"
"$46,944",Blackwell Consolidated Independent School District / 998
"$46,906","Rains Independent School District / 10,753"
"$46,901","Hitchcock Independent School District / 9,887"
"$46,823","Shiner Independent School District / 3,606"
"$46,818",Hedley Independent School District / 622
"$46,797",Montague Independent School District / 579
"$46,780","Fort Stockton Independent School District / 13,530"
"$46,719","Happy Independent School District / 1,121"
"$46,667","St. Jo Independent School District / 1,718"
"$46,618","Utopia Independent School District / 1,062"
"$46,612","DeKalb Independent School District / 4,388"
"$46,594","Kountze Independent School District / 7,992"
"$46,579",Jayton-Girard Independent School District / 850
"$46,563","Big Sandy Independent School District / 4,992"
"$46,550","Anahuac Independent School District / 5,806"
"$46,474","El Campo Independent School District / 17,415"
"$46,429",Sidney Independent School District / 631
"$46,420",Wellman-Union Consolidated Independent School District / 782
"$46,354","Arp Independent School District / 5,087"
"$46,354","Huckabay Independent School District / 1,544"
"$46,297","Texas City Independent School District / 27,678"
"$46,288","Terrell Independent School District / 25,378"
"$46,275","Quinlan Independent School District / 18,047"
"$46,250",Marathon Independent School District / 679
"$46,250",Walnut Bend Independent School District / 125
"$46,193","Corpus Christi Independent School District / 241,559"
"$46,169","Chireno Independent School District / 1,756"
"$46,131","Cuero Independent School District / 10,560"
"$46,071","Leonard Independent School District / 4,181"
"$46,069","Houston Independent School District / 1,397,288"
"$46,050","Springlake-Earth Independent School District / 1,637"
"$46,025","Groesbeck Independent School District / 10,158"
"$46,023","Oglesby Independent School District / 1,138"
"$45,939","Bowie Independent School District / 10,103"
"$45,926","Van Vleck Independent School District / 5,091"
"$45,901","Waskom Independent School District / 3,826"
"$45,893","Hico Independent School District / 3,773"
"$45,886","Columbus Independent School District / 9,801"
"$45,786","Tahoka Independent School District / 2,962"
"$45,769","Seguin Independent School District / 45,251"
"$45,714","Anton Independent School District / 1,514"
"$45,673",Comstock Independent School District / 620
"$45,598","Honey Grove Independent School District / 3,553"
"$45,541","Hull-Daisetta Independent School District / 2,714"
"$45,539","Borger Independent School District / 14,618"
"$45,481","Roscoe Independent School District / 1,977"
"$45,469","Leary Independent School District / 1,422"
"$45,446","Morgan Independent School District / 1,047"
"$45,375","Harper Independent School District / 3,589"
"$45,375","Roby Consolidated Independent School District / 1,289"
"$45,345","Riesel Independent School District / 1,966"
"$45,341",Moran Independent School District / 470
"$45,313",Mullin Independent School District / 728
"$45,268","Farwell Independent School District / 2,667"
"$45,260","Blooming Grove Independent School District / 3,722"
"$45,250","Covington Independent School District / 1,256"
"$45,237","Pampa Independent School District / 21,236"
"$45,208",McMullen County Independent School District / 646
"$45,168","West Rusk Independent School District / 6,769"
"$45,156",Higgins Independent School District / 586
"$45,155","Yoakum Independent School District / 7,980"
"$45,139","Whitewright Independent School District / 3,726"
"$45,131","Big Spring Independent School District / 29,641"
"$45,076","North Zulch Independent School District / 1,648"
"$45,054","Pettus Independent School District / 1,995"
"$45,039","Pasadena Independent School District / 253,162"
"$44,966","Luling Independent School District / 7,771"
"$44,931",Richland Springs Independent School District / 894
"$44,929","Buna Independent School District / 8,194"
"$44,920","Brownsboro Independent School District / 15,411"
"$44,911","Venus Independent School District / 10,125"
"$44,861",High Island Independent School District / 738
"$44,833","Hallettsville Independent School District / 7,018"
"$44,821","Kennard Independent School District / 2,521"
"$44,821","Louise Independent School District / 2,474"
"$44,821","Snook Independent School District / 2,986"
"$44,812","Three Rivers Independent School District / 4,317"
"$44,803","Flatonia Independent School District / 3,534"
"$44,792","Hidalgo Independent School District / 8,671"
"$44,773","D'Hanis Independent School District / 1,680"
"$44,712",Avalon Independent School District / 740
"$44,707","Pecos-Barstow-Toyah Independent School District / 13,707"
"$44,651","Vidor Independent School District / 25,661"
"$44,643","Schleicher Independent School District / 3,281"
"$44,639","Goldthwaite Independent School District / 3,370"
"$44,606","Center Point Independent School District / 3,868"
"$44,583","Detroit Independent School District / 2,289"
"$44,583","George West Independent School District / 6,869"
"$44,583","Haskell Consolidated Independent School District / 4,319"
"$44,577","Leon Independent School District / 3,910"
"$44,561","Smithville Independent School District / 10,322"
"$44,516","Jonesboro Independent School District / 1,040"
"$44,492","Harleton Independent School District / 3,672"
"$44,491","Spearman Independent School District / 3,770"
"$44,471","Cross Roads Independent School District / 3,242"
"$44,468","Sulphur Springs Independent School District / 23,454"
"$44,444","Port Aransas Independent School District / 3,834"
"$44,444","Seagraves Independent School District / 2,736"
"$44,433","Whitesboro Independent School District / 9,220"
"$44,401","Clyde Consolidated Independent School District / 13,346"
"$44,395","Ennis Independent School District / 27,178"
"$44,334","Mineola Independent School District / 8,968"
"$44,327","East Chambers Independent School District / 6,052"
"$44,306",Paint Rock Independent School District / 613
"$44,306","Southside Independent School District / 24,460"
"$44,299","Mount Vernon Independent School District / 9,265"
"$44,286","Driscoll Independent School District / 1,241"
"$44,286","Gruver Independent School District / 1,690"
"$44,219","Shamrock Independent School District / 2,269"
"$44,205",Boles Independent School District / 716
"$44,205",Pawnee Independent School District / 454
"$44,152","Bloomington Independent School District / 4,126"
"$44,145","Valley Mills Independent School District / 3,469"
"$44,135","McCamey Independent School District / 2,282"
"$44,118","Lone Oak Independent School District / 4,562"
"$44,100","Moody Independent School District / 3,626"
"$44,090","Amarillo Independent School District / 172,205"
"$44,053","Henderson Independent School District / 22,571"
"$44,041","Canton Independent School District / 11,951"
"$43,977","Gause Independent School District / 1,116"
"$43,929","Dilley Independent School District / 4,775"
"$43,822","Cayuga Independent School District / 11,068"
"$43,809","Los Fresnos Consolidated Independent School District / 47,552"
"$43,789","Everman Independent School District / 23,680"
"$43,783","Irving Independent School District / 177,830"
"$43,750",Ezzell Independent School District / 787
"$43,750","Mason Independent School District / 4,151"
"$43,750","Somerville Independent School District / 4,413"
"$43,750","Waelder Independent School District / 2,439"
"$43,741","Tyler Independent School District / 119,993"
"$43,632","Bay City Independent School District / 20,162"
"$43,631","Celeste Independent School District / 2,168"
"$43,621","Mount Enterprise Independent School District / 1,778"
"$43,562","Kenedy Independent School District / 6,889"
"$43,550","New Deal Independent School District / 3,614"
"$43,523","Hart Independent School District / 1,534"
"$43,500","Avinger Independent School District / 1,106"
"$43,488","Queen City Independent School District / 6,075"
"$43,444","San Angelo Independent School District / 97,826"
"$43,435","Westwood Independent School District / 12,712"
"$43,393","Wellington Independent School District / 3,013"
"$43,371","Etoile Independent School District / 1,639"
"$43,266","Gonzales Independent School District / 12,980"
"$43,239","Colmesneil Independent School District / 2,451"
"$43,204","Dublin Independent School District / 6,646"
"$43,086","Hooks Independent School District / 4,063"
"$43,069","Navasota Independent School District / 18,835"
"$43,056","Temple Independent School District / 54,718"
"$43,024","Italy Independent School District / 2,893"
"$43,000",Lohn Independent School District / 237
"$42,989","Sherman Independent School District / 41,941"
"$42,961","Knox City-O'Brien Independent School District / 1,563"
"$42,931","Liberty Independent School District / 11,603"
"$42,930","Sam Rayburn Independent School District / 2,260"
"$42,908","Breckenridge Independent School District / 9,353"
"$42,886","Simms Independent School District / 4,954"
"$42,853","McGregor Independent School District / 6,147"
"$42,788","Riviera Independent School District / 1,552"
"$42,788","Southwest Independent School District / 56,415"
"$42,766","Ingram Independent School District / 8,638"
"$42,740","Gustine Independent School District / 1,238"
"$42,736","Meridian Independent School District / 2,571"
"$42,734","McAllen Independent School District / 121,374"
"$42,733","Plainview Independent School District / 27,898"
"$42,712","San Felipe-Del Rio Consolidated Independent School District / 48,379"
"$42,696","Merkel Independent School District / 5,884"
"$42,693","Dallas Independent School District / 1,051,712"
"$42,688","Aransas County Independent School District / 22,053"
"$42,632","Cooper Independent School District / 4,459"
"$42,575","Fairfield Independent School District / 9,941"
"$42,574","Amherst Independent School District / 1,198"
"$42,518","Hereford Independent School District / 18,935"
"$42,500","Blum Independent School District / 1,624"
"$42,500","Fruitvale Independent School District / 1,752"
"$42,428","Bruceville-Eddy Independent School District / 4,027"
"$42,428","Hawley Independent School District / 2,340"
"$42,400","Cumby Independent School District / 2,025"
"$42,394","Poteet Independent School District / 8,710"
"$42,321","Como-Pickton Consolidated Independent School District / 3,483"
"$42,250",Patton Springs Independent School District / 412
"$42,232","Aspermont Independent School District / 1,364"
"$42,188","Whitney Independent School District / 9,761"
"$42,091","Hughes Springs Independent School District / 5,321"
"$42,082","Wichita Falls Independent School District / 88,905"
"$42,024","Blanket Independent School District / 1,304"
"$42,019","Martins Mill Independent School District / 2,508"
"$41,989",Lefors Independent School District / 386
"$41,930","Muleshoe Independent School District / 6,925"
"$41,919","Baird Independent School District / 2,717"
"$41,914","Skidmore-Tynan Independent School District / 2,976"
"$41,881","La Marque Independent School District / 28,184"
"$41,857","Van Independent School District / 12,542"
"$41,818","Galena Park Independent School District / 86,580"
"$41,806","Kemp Independent School District / 10,731"
"$41,725","New Boston Independent School District / 7,196"
"$41,722","Kerrville Independent School District / 33,729"
"$41,719","Austwell-Tivoli Independent School District / 1,017"
"$41,719","Marfa Independent School District / 2,427"
"$41,715","Gladewater Independent School District / 11,047"
"$41,686","Greenville Independent School District / 31,281"
"$41,635","Matagorda Independent School District / 1,045"
"$41,607","Hamilton Independent School District / 4,833"
"$41,602","New Summerfield Independent School District / 2,733"
"$41,597","Grand Saline Independent School District / 6,822"
"$41,531","Vernon Independent School District / 12,717"
"$41,493","Silsbee Independent School District / 17,131"
"$41,448","Gainesville Independent School District / 18,057"
"$41,429","Rocksprings Independent School District / 1,711"
"$41,429","Bovina Independent School District / 2,198"
"$41,420","Neches Independent School District / 1,568"
"$41,411","Schulenburg Independent School District / 5,013"
"$41,406","Wolfe City Independent School District / 3,383"
"$41,377","Alba-Golden Independent School District / 5,909"
"$41,373","Quitman Independent School District / 8,857"
"$41,354","Malakoff Independent School District / 9,713"
"$41,347","Fort Worth Independent School District / 479,368"
"$41,321","Lufkin Independent School District / 47,578"
"$41,313","Frankston Independent School District / 4,669"
"$41,310","Prairiland Independent School District / 5,583"
"$41,261","Beeville Independent School District / 27,314"
"$41,250",Adrian Independent School District / 395
"$41,250","Archer City Independent School District / 2,822"
"$41,250",Channing Independent School District / 912
"$41,250","Damon Independent School District / 1,235"
"$41,250","Slocum Independent School District / 1,918"
"$41,213","Throckmorton Independent School District / 1,151"
"$41,210","Electra Independent School District / 3,107"
"$41,203","Chapel Hill Independent School District / 23,644"
"$41,181","Kopperl Independent School District / 1,982"
"$41,168","Bryan Independent School District / 94,730"
"$41,155","Hempstead Independent School District / 8,623"
"$41,088","Bonham Independent School District / 13,995"
"$41,071","Lockney Independent School District / 2,318"
"$41,042",Strawn Independent School District / 682
"$40,991","Milano Independent School District / 1,888"
"$40,976","Alice Independent School District / 24,822"
"$40,972",Valentine Independent School District / 223
"$40,950","Mount Pleasant Independent School District / 23,073"
"$40,944","Madisonville Consolidated Independent School District / 13,703"
"$40,814","Marshall Independent School District / 34,305"
"$40,809","West Hardin County Consolidated Independent School District / 3,884"
"$40,795","Livingston Independent School District / 27,676"
"$40,781",Terrell County Independent School District / 809
"$40,729","Cleveland Independent School District / 21,897"
"$40,721","Floydada Independent School District / 3,852"
"$40,694","Aransas Pass Independent School District / 10,935"
"$40,694","Bloomburg Independent School District / 1,435"
"$40,694","Ore City Independent School District / 4,606"
"$40,625","Petersburg Independent School District / 1,487"
"$40,583","Bartlett Independent School District / 2,728"
"$40,577","Frost Independent School District / 1,876"
"$40,526","El Paso Independent School District / 329,129"
"$40,502","Slaton Independent School District / 7,560"
"$40,491","Wills Point Independent School District / 12,974"
"$40,473","Junction Independent School District / 4,192"
"$40,455",Knippa Independent School District / 922
"$40,329",Lueders-Avoca Independent School District / 528
"$40,326","Union Hill Independent School District / 2,040"
"$40,278","Lovelady Independent School District / 4,935"
"$40,270","Hudson Independent School District / 11,727"
"$40,250","Runge Independent School District / 1,403"
"$40,208","Olton Independent School District / 2,705"
"$40,200","Mabank Independent School District / 21,851"
"$40,184","Denison Independent School District / 27,931"
"$40,151","Abilene Independent School District / 103,871"
"$40,109","Leakey Independent School District / 2,065"
"$40,053","Rusk Independent School District / 11,745"
"$40,035","Woodville Independent School District / 11,976"
"$40,000","Walnut Springs Independent School District / 1,163"
"$39,980","Winters Independent School District / 3,277"
"$39,955","Kirbyville Consolidated Independent School District / 6,850"
"$39,952","Clarendon Independent School District / 3,057"
"$39,928","Corsicana Independent School District / 29,438"
"$39,896","Hamlin Independent School District / 2,390"
"$39,891","Del Valle Independent School District / 62,825"
"$39,861","Burkeville Independent School District / 3,131"
"$39,813",Devers Independent School District / 970
"$39,780","Galveston Independent School District / 50,725"
"$39,779","Karnes City Independent School District / 4,240"
"$39,767","Corrigan-Camden Independent School District / 5,195"
"$39,764","Keene Independent School District / 5,370"
"$39,688","Morton Independent School District / 2,173"
"$39,659","Nocona Independent School District / 4,663"
"$39,629","Beaumont Independent School District / 133,236"
"$39,563","Palestine Independent School District / 20,649"
"$39,543","Dawson Independent School District / 2,875"
"$39,500","Sudan Independent School District / 1,516"
"$39,434","Mathis Independent School District / 8,993"
"$39,352","Garrison Independent School District / 2,900"
"$39,306","Bronte Independent School District / 1,507"
"$39,288","Lubbock Independent School District / 190,845"
"$39,286","Panther Creek Consolidated Independent School District / 1,210"
"$39,286","Silverton Independent School District / 1,119"
"$39,247","Onalaska Independent School District / 6,678"
"$39,243","Daingerfield-Lone Star Independent School District / 8,361"
"$39,236","Avery Independent School District / 1,528"
"$39,152","Mineral Wells Independent School District / 19,402"
"$39,118",Trent Independent School District / 683
"$39,025","Rice Consolidated Independent School District / 6,455"
"$39,010","Brady Independent School District / 7,205"
"$38,953","Maud Independent School District / 2,419"
"$38,918","Lake Worth Independent School District / 15,994"
"$38,791","Brownwood Independent School District / 21,084"
"$38,785","Eustace Independent School District / 7,105"
"$38,750","Holland Independent School District / 2,079"
"$38,690","Huntington Independent School District / 7,340"
"$38,684","Zavalla Independent School District / 2,795"
"$38,596","Bangs Independent School District / 6,164"
"$38,594","Mart Independent School District / 3,510"
"$38,588","Ralls Independent School District / 2,461"
"$38,466","Apple Springs Independent School District / 1,447"
"$38,407","Lamesa Independent School District / 12,403"
"$38,383","Shepherd Independent School District / 10,053"
"$38,237","Hubbard Independent School District / 2,204"
"$38,232","Alief Independent School District / 260,825"
"$38,201","Pittsburg Independent School District / 12,841"
"$38,140","Carrizo Springs Consolidated Independent School District / 10,537"
"$38,138","Longview Independent School District / 56,682"
"$38,108","La Vega Independent School District / 13,349"
"$38,031","Rice Independent School District / 3,031"
"$38,013","Hearne Independent School District / 7,174"
"$38,013","Jim Hogg County Independent School District / 5,266"
"$37,969","Shelbyville Independent School District / 3,486"
"$37,938","Cisco Independent School District / 4,978"
"$37,917",Excelsior Independent School District / 593
"$37,917","Wortham Independent School District / 2,104"
"$37,886","West Orange-Cove Consolidated Independent School District / 16,927"
"$37,813",Sierra Blanca Independent School District / 853
"$37,813","Winnsboro Independent School District / 8,087"
"$37,796","Harlingen Consolidated Independent School District / 85,433"
"$37,750","Edinburg Consolidated Independent School District / 142,887"
"$37,713","Rotan Independent School District / 1,944"
"$37,699","Alpine Independent School District / 7,611"
"$37,656","Gorman Independent School District / 1,588"
"$37,614","Robert Lee Independent School District / 1,625"
"$37,589",Ramirez Common School District / 381
"$37,368","Gordon Independent School District / 1,175"
"$37,356","Spur Independent School District / 1,935"
"$37,341","Brownfield Independent School District / 10,805"
"$37,321",Winfield Independent School District / 946
"$37,321",Mount Pleasant Independent School District (9-12) in Winfield / 946
"$37,232","Rio Hondo Independent School District / 8,865"
"$37,230","Huntsville Independent School District / 62,791"
"$37,214","Kerens Independent School District / 3,629"
"$37,110","Clint Independent School District / 41,057"
"$37,025","Joaquin Independent School District / 3,433"
"$36,990","Athens Independent School District / 21,692"
"$36,954","Dimmitt Independent School District / 5,449"
"$36,929","Crosbyton Consolidated Independent School District / 2,188"
"$36,875",Trinidad Independent School District / 777
"$36,853","Mexia Independent School District / 11,243"
"$36,819","Royal Independent School District / 10,638"
"$36,784","College Station Independent School District / 105,878"
"$36,688","Trinity Independent School District / 7,264"
"$36,642","Tidehaven Independent School District / 3,838"
"$36,638","Point Isabel Independent School District / 15,048"
"$36,627","Wharton Independent School District / 13,285"
"$36,600","Kingsville Independent School District / 26,727"
"$36,563","DeLeon Independent School District / 4,047"
"$36,563",Kenedy County-wide Common School District / 528
"$36,555","Sabinal Independent School District / 2,375"
"$36,532","Aldine Independent School District / 276,903"
"$36,504","Center Independent School District / 11,709"
"$36,460","Cameron Independent School District / 7,641"
"$36,457","Sweetwater Independent School District / 12,672"
"$36,333","Lometa Independent School District / 1,526"
"$36,316","Leggett Independent School District / 1,078"
"$36,250",Paint Creek Independent School District / 333
"$36,210","Castleberry Independent School District / 19,763"
"$36,192","Stamford Independent School District / 3,297"
"$36,173","Stephenville Independent School District / 25,777"
"$36,116","Latexo Independent School District / 2,176"
"$36,089","Liberty-Eylau Independent School District / 14,508"
"$36,079","Ysleta Independent School District / 196,164"
"$36,078","Palacios Independent School District / 6,936"
"$36,050","Grapeland Independent School District / 4,631"
"$36,025","Rivercrest Independent School District / 3,914"
"$36,023",Benjamin Independent School District / 391
"$36,000",Woodson Independent School District / 445
"$35,974","Eastland Independent School District / 6,382"
"$35,972","Big Sandy Independent School District / 2,097"
"$35,970","Texarkana Independent School District / 31,700"
"$35,893",Grandfalls-Royalty Independent School District / 472
"$35,833","Uvalde Consolidated Independent School District / 23,709"
"$35,824","Valley View Independent School District / 13,348"
"$35,815","Rosebud-Lott Independent School District / 5,331"
"$35,795","Oakwood Independent School District / 1,203"
"$35,783","Tulia Independent School District / 5,797"
"$35,703","Atlanta Independent School District / 9,453"
"$35,557","Jacksonville Independent School District / 25,404"
"$35,492","Nixon-Smiley Consolidated Independent School District / 4,770"
"$35,412","Taft Independent School District / 4,866"
"$35,302","Culberson County-Allamoore Independent School District / 2,325"
"$35,248","Jefferson Independent School District / 9,575"
"$35,218","South San Antonio Independent School District / 46,748"
"$35,217","Tenaha Independent School District / 2,718"
"$35,208",Southland Independent School District / 209
"$35,205","Ballinger Independent School District / 5,250"
"$35,164","Hale Center Independent School District / 3,322"
"$35,067","Littlefield Independent School District / 6,962"
"$35,040","Motley County Independent School District / 1,178"
"$35,034","Nacogdoches Independent School District / 46,674"
"$35,027","Karnack Independent School District / 2,443"
"$35,024","Pearsall Independent School District / 12,939"
"$35,009","Pharr-San Juan-Alamo Independent School District / 126,449"
"$35,000",Balmorhea Independent School District / 763
"$34,957","Connally Independent School District / 14,333"
"$34,702","Timpson Independent School District / 4,033"
"$34,659",Rule Independent School District / 951
"$34,653","Quanah Independent School District / 3,159"
"$34,637","West Oso Independent School District / 8,682"
"$34,629","Pewitt Consolidated Independent School District / 5,780"
"$34,625",Bellevue Independent School District / 781
"$34,552","Jasper Independent School District / 17,447"
"$34,479","Hemphill Independent School District / 7,077"
"$34,453",Sabine Pass Independent School District / 381
"$34,438","Cotulla Independent School District / 6,864"
"$34,415","Bryson Independent School District / 1,574"
"$34,375","Lingleville Independent School District / 1,353"
"$34,375","Turkey-Quitaque Independent School District / 1,191"
"$34,365","Coleman Independent School District / 5,677"
"$34,333","Paducah Independent School District / 1,554"
"$34,333","Roxton Independent School District / 1,177"
"$34,306","Crowell Independent School District / 1,204"
"$34,271",Priddy Independent School District / 346
"$34,091","Cross Plains Independent School District / 2,516"
"$33,926","San Saba Independent School District / 4,322"
"$33,893","La Feria Independent School District / 15,508"
"$33,750",Cotton Center Independent School District / 350
"$33,739","Weslaco Independent School District / 69,395"
"$33,705","Comanche Independent School District / 7,477"
"$33,614","Chilton Independent School District / 2,013"
"$33,580","Menard Independent School District / 2,129"
"$33,555","Wells Independent School District / 2,005"
"$33,500","Munday Consolidated Independent School District / 1,961"
"$33,432","Ranger Independent School District / 3,547"
"$33,429","Memphis Independent School District / 2,597"
"$33,425","San Marcos Consolidated Independent School District / 69,985"
"$33,312","Seymour Independent School District / 3,663"
"$33,083","Boling Independent School District / 4,021"
"$33,046","Harlandale Independent School District / 64,015"
"$32,962","Hillsboro Independent School District / 10,870"
"$32,923","West Sabine Independent School District / 3,069"
"$32,917","Santa Anna Independent School District / 1,809"
"$32,857",Terlingua Common School District / 830
"$32,610","Paris Independent School District / 22,101"
"$32,604","Nueces Canyon Consolidated Independent School District / 2,018"
"$32,536","Eagle Pass Independent School District / 55,821"
"$32,500",Wilson Independent School District / 805
"$32,473","Brackett Independent School District / 3,598"
"$32,413","Mission Consolidated Independent School District / 63,627"
"$32,386",Newcastle Independent School District / 959
"$32,119","Rockdale Independent School District / 9,212"
"$31,933","Rising Star Independent School District / 1,649"
"$31,905","Alto Independent School District / 3,652"
"$31,638","Groveton Independent School District / 4,915"
"$31,583","La Pryor Independent School District / 2,205"
"$31,583","Monte Alto Independent School District / 3,365"
"$31,567","Port Arthur Independent School District / 52,817"
"$31,484","Coolidge Independent School District / 1,328"
"$31,395","Benavides Independent School District / 3,124"
"$31,281","Robstown Independent School District / 15,510"
"$31,250",Buckholts Independent School District / 776
"$31,130","Progreso Independent School District / 6,806"
"$31,045","San Antonio Independent School District / 308,431"
"$30,793","Charlotte Independent School District / 2,482"
"$30,758","Zapata County Independent School District / 14,231"
"$30,553",Loraine Independent School District / 928
"$30,511","Newton Independent School District / 6,118"
"$30,500",Iredell Independent School District / 952
"$30,375","Brownsville Independent School District / 191,211"
"$30,244","Anthony Independent School District / 5,402"
"$30,179","Broaddus Independent School District / 3,051"
"$29,769",San Isidro Independent School District / 985
"$29,576","San Benito Consolidated Independent School District / 43,665"
"$29,547","Commerce Independent School District / 11,423"
"$29,472","Olney Independent School District / 4,150"
"$29,440","O'Donnell Independent School District / 1,364"
"$29,404","Premont Independent School District / 3,298"
"$29,340","Marlin Independent School District / 8,745"
"$28,792","Waco Independent School District / 104,226"
"$28,770","La Joya Independent School District / 99,891"
"$28,472","San Augustine Independent School District / 5,266"
"$28,208","Raymondville Independent School District / 13,849"
"$28,125","Goodrich Independent School District / 2,397"
"$27,952","Linden-Kildare Consolidated Independent School District / 5,466"
"$27,900","Fannindel Independent School District / 1,692"
"$27,850","Lyford Consolidated Independent School District / 5,725"
"$27,748","Rio Grande City Consolidated Independent School District / 37,254"
"$27,563","Donna Independent School District / 63,628"
"$27,258","Mercedes Independent School District / 21,604"
"$27,194","Edgewood Independent School District / 58,867"
"$26,850","Lasara Independent School District / 1,377"
"$26,799","Tornillo Independent School District / 3,320"
"$26,619","Crockett Independent School District / 8,907"
"$26,484","San Diego Independent School District / 6,714"
"$26,273","Crystal City Independent School District / 8,635"
"$26,121","Clarksville Independent School District / 6,119"
"$25,246","Laredo Independent School District / 93,551"
"$25,208","Santa Maria Independent School District / 2,758"
"$25,104","Presidio Independent School District / 5,052"
"$25,010","Fabens Independent School District / 8,802"
"$25,000","La Villa Independent School District / 3,920"
"$24,000",Olfen Independent School District / 80
"$23,929",Dell City Independent School District / 407
"$23,920","Santa Rosa Independent School District / 5,063"
"$23,090","Roma Independent School District / 23,801"
"$22,756","Edcouch-Elsa Independent School District / 19,125"
"$22,595","San Elizario Independent School District / 14,557"
"$22,308","Calvert Independent School District / 1,604"
"$22,176","Brooks County Independent School District / 7,200"
"$22,042","Fort Hancock Independent School District / 2,084"
"$20,250","San Perlita Independent School District / 1,105"